UID	Lncbook_id	Lncbook_trans_id	transcript_id
ELH000002	HSALNG0005521	HSALNT0294208	HSALNT0294208
ELH000005	HSALNG0005615	HSALNT0011692	HSALNT0011692
ELH000005	HSALNG0005615	HSALNT0011693	HSALNT0011693
ELH000005	HSALNG0005615	HSALNT0011694	HSALNT0011694
ELH000005	HSALNG0005615	HSALNT0011695	HSALNT0011695
ELH000005	HSALNG0005615	HSALNT0011696	HSALNT0011696
ELH000005	HSALNG0005615	HSALNT0011697	HSALNT0011697
ELH000005	HSALNG0005615	HSALNT0011698	HSALNT0011698
ELH000021	HSALNG0006082	HSALNT0012720	HSALNT0012720
ELH000020	HSALNG0006084	HSALNT0012722	HSALNT0012722
ELH000020	HSALNG0006084	HSALNT0012723	HSALNT0012723
ELH000020	HSALNG0006084	HSALNT0012724	HSALNT0012724
ELH000020	HSALNG0006084	HSALNT0012725	HSALNT0012725
ELH000020	HSALNG0006084	HSALNT0012726	HSALNT0012726
ELH000020	HSALNG0006084	HSALNT0012727	HSALNT0012727
ELH000020	HSALNG0006084	HSALNT0012728	HSALNT0012728
ELH000020	HSALNG0006084	HSALNT0012729	HSALNT0012729
ELH000020	HSALNG0006084	HSALNT0012730	HSALNT0012730
ELH000020	HSALNG0006084	HSALNT0012731	HSALNT0012731
ELH000020	HSALNG0006084	HSALNT0294677	HSALNT0294677
ELH000020	HSALNG0006084	HSALNT0294678	HSALNT0294678
ELH000020	HSALNG0006084	HSALNT0294679	HSALNT0294679
ELH000020	HSALNG0006084	HSALNT0294680	HSALNT0294680
ELH000020	HSALNG0006084	HSALNT0294681	HSALNT0294681
ELH000026	HSALNG0006287	HSALNT0013148	HSALNT0013148
ELH000027	HSALNG0006288	HSALNT0013149	HSALNT0013149
ELH000028	HSALNG0006289	HSALNT0013150	HSALNT0013150
ELH000028	HSALNG0006289	HSALNT0013151	HSALNT0013151
ELH000034	HSALNG0006512	HSALNT0013658	HSALNT0013658
ELH000044	HSALNG0006799	HSALNT0014398	HSALNT0014398
ELH000044	HSALNG0006799	HSALNT0014408	HSALNT0014408
ELH000044	HSALNG0006799	HSALNT0014409	HSALNT0014409
ELH000044	HSALNG0006799	HSALNT0014410	HSALNT0014410
ELH000044	HSALNG0006799	HSALNT0014413	HSALNT0014413
ELH000044	HSALNG0006799	HSALNT0014416	HSALNT0014416
ELH000044	HSALNG0006799	HSALNT0295421	HSALNT0295421
ELH000044	HSALNG0006799	HSALNT0295422	HSALNT0295422
ELH000044	HSALNG0006799	HSALNT0295423	HSALNT0295423
ELH000044	HSALNG0006799	HSALNT0295424	HSALNT0295424
ELH000044	HSALNG0006799	HSALNT0295425	HSALNT0295425
ELH000044	HSALNG0006799	HSALNT0295426	HSALNT0295426
ELH000044	HSALNG0006799	HSALNT0295427	HSALNT0295427
ELH000044	HSALNG0006799	HSALNT0295428	HSALNT0295428
