CCDC18-AS1	HSALNG0005250
BCAR3-AS1	HSALNG0005269
ARHGAP29-AS1	HSALNG0005322
ALG14-AS1	HSALNG0005351
LINC01761,LINC02607	HSALNG0005364
LINC01760	HSALNG0005365
LINC01650	HSALNG0005367
LINC02790	HSALNG0005384
LINC01787	HSALNG0005391
DPYD-AS1	HSALNG0005418
DPYD-IT1	HSALNG0005422
DPYD-AS2	HSALNG0005428
MIR137HG	HSALNG0005432
LINC01776	HSALNG0005443
LINC01708	HSALNG0005471
RTCA-AS1	HSALNG0005524
LINC01349	HSALNG0005540
LINC01307	HSALNG0005582
LINC01709	HSALNG0005590
LINC01676	HSALNG0005693
LINC01677	HSALNG0005713
LINC01661	HSALNG0005757
VAV3-AS1,LINC02785	HSALNG0005787
SPATA42	HSALNG0005835
LINC01768	HSALNG0005928
LINC01397	HSALNG0005949
LINC02586	HSALNG0005961
RBM15-AS1	HSALNG0005967
LAMTOR5-AS1	HSALNG0005973
CYMP-AS1	HSALNG0005984
LINC01160	HSALNG0006063
INKA2-AS1	HSALNG0006073
KCND3-IT1	HSALNG0006077
KCND3-AS1	HSALNG0006080
LINC01750	HSALNG0006084
LINC02884	HSALNG0006094
LINC01356	HSALNG0006139
LINC01357	HSALNG0006141
SLC16A1-AS1	HSALNG0006150
LRIG2-DT	HSALNG0006152
AP4B1-AS1	HSALNG0006197
HIPK1-AS1	HSALNG0006203
LINC01765	HSALNG0006259
NGF-AS1	HSALNG0006265
LINC01649	HSALNG0006294
LINC01779	HSALNG0006313
ATP1A1-AS1	HSALNG0006325
LINC01762	HSALNG0006329
LINC02868	HSALNG0141843
LINC01525	HSALNG0006378
WARS2-IT1	HSALNG0006463
WARS2-AS1	HSALNG0006466
LINC01780	HSALNG0006483
HAO2-IT1	HSALNG0006487
LINC00622	HSALNG0006500
LINC00623	HSALNG0141865
SRGAP2-AS1	HSALNG0006553
LINC02798	HSALNG0006556
LINC01691	HSALNG0006566
LINC02802	HSALNG0006909
LINC02799	HSALNG0142298
LINC02591	HSALNG0006937
LINC02802	HSALNG0142302
LINC01632	HSALNG0142305
LIX1L-AS1	HSALNG0006706
LINC01719	HSALNG0006691
LINC00624	HSALNG0006799
LINC02804	HSALNG0006845
LINC02805	HSALNG0006851
LINC01731	HSALNG0006856
LINC02806	HSALNG0006857
LINC01138	HSALNG0142330
FALEC	HSALNG0007045
ADAMTSL4-AS2	HSALNG0007049
ADAMTSL4-AS1	HSALNG0007053
ZNF687-AS1	HSALNG0007132
TDRKH-AS1	HSALNG0007188
C2CD4D-AS1	HSALNG0007192
FLG-AS1	HSALNG0007223
LINC01527	HSALNG0007253
IL6R-AS1	HSALNG0007394
UBE2Q1-AS1	HSALNG0007414
DCST1-AS1	HSALNG0007463
RUSC1-AS1	HSALNG0007497
ASH1L-IT1	HSALNG0007504
ASH1L-AS1	HSALNG0007510
ARHGEF2-AS1	HSALNG0007541
LINC02772	HSALNG0007670
KIRREL1-IT1	HSALNG0007706
LINC01704	HSALNG0007713
CADM3-AS1	HSALNG0007762
LINC02819	HSALNG0007769
SNHG28	HSALNG0142361
LINC01133	HSALNG0007801
PBX1-AS1	HSALNG0008113
LMX1A-AS2	HSALNG0008128
LMX1A-AS1	HSALNG0008129
LRRC52-AS1	HSALNG0008139
TMCO1-AS1	HSALNG0008155
FAM78B-AS1	HSALNG0008173
LINC01675	HSALNG0008185
LINC01363	HSALNG0008215
LINC00970	HSALNG0008302
LINC00626	HSALNG0008299
LINC01681	HSALNG0008365
LINC01142	HSALNG0008370
GORAB-AS1	HSALNG0008377
DNM3-IT1	HSALNG0008458
DNM3OS	HSALNG0008462
GAS5	HSALNG0008545
GAS5-AS1	HSALNG0008546
RC3H1-IT1	HSALNG0008558
LINC02776	HSALNG0008559
RABGAP1L-DT	HSALNG0008562
RABGAP1L-IT1	HSALNG0008575
TNR-IT1	HSALNG0008604
LINC01657	HSALNG0008620
LINC02803	HSALNG0008622
LINC01645	HSALNG0008653
LINC01741	HSALNG0008659
RASAL2-AS1	HSALNG0008683
LINC02818	HSALNG0008777
OVAAL	HSALNG0008819
LINC02816	HSALNG0008836
KIAA1614-AS1	HSALNG0008840
LINC01732	HSALNG0008856
LINC01699	HSALNG0008862
LINC01344	HSALNG0008894
LINC00272	HSALNG0008917
LINC01686	HSALNG0141969
LINC01688	HSALNG0008936
LAMC1-AS1	HSALNG0142385
SMG7-AS1	HSALNG0008972
LINC01633	HSALNG0009031
LINC01350	HSALNG0009069
PDC-AS1	HSALNG0009083
PACERR	HSALNG0009103
LINC01036	HSALNG0009116
LINC01035	HSALNG0009184
LINC01701	HSALNG0009205
LINC01351	HSALNG0009219
LINC01720	HSALNG0141979
LINC01680	HSALNG0009234
LINC02770	HSALNG0009252
RGS2-AS1	HSALNG0009267
LINC01031	HSALNG0009338
LINC01724	HSALNG0009407
MIR181A1HG	HSALNG0009511
LINC01222	HSALNG0009525
LINC01221	HSALNG0009527
LINC02789	HSALNG0009531
LINC00862	HSALNG0009573
DDX59-AS1	HSALNG0009599
IPO9-AS1	HSALNG0009674
ELF3-AS1	HSALNG0142396
PCAT6	HSALNG0009743
LINC01353	HSALNG0009782
LINC01136	HSALNG0009783
LINC00260	HSALNG0009820
LINC00303	HSALNG0009845
ERLNC1	HSALNG0009856
LINC00628	HSALNG0009871
LEMD1-AS1	HSALNG0009939
BLACAT1	HSALNG0009941
LEMD1-DT	HSALNG0009942
MFSD4A-AS1	HSALNG0009948
SLC26A9-AS1	HSALNG0009993
DYRK3-AS1	HSALNG0010037
MIR29B2CHG	HSALNG0010128
LINC02767	HSALNG0010139
LINC02769,LINC01735	HSALNG0010162
LINC01717	HSALNG0010163
LINC01774	HSALNG0010175
LINC01696	HSALNG0010192
LINC01698	HSALNG0010195
MIR205HG	HSALNG0010200
HSD11B1-AS1	HSALNG0010218
SERTAD4-AS1	HSALNG0010241
KCNH1-IT1	HSALNG0010270
LINC00467	HSALNG0010286
LINC01693	HSALNG0010306
LPGAT1-AS1	HSALNG0010316
LINC02608	HSALNG0010344
LINC02771	HSALNG0010358
LINC01740	HSALNG0010370
LINC02773	HSALNG0010379
FLVCR1-DT	HSALNG0010403
PROX1-AS1	HSALNG0010460
LINC00538	HSALNG0010465
LINC00538	HSALNG0010466
LINC02775	HSALNG0010471
SPATA17-AS1	HSALNG0010573
LINC00210	HSALNG0010577
LINC01653	HSALNG0010587
TGFB2-AS1	HSALNG0010602
TGFB2-OT1	HSALNG0010604
LINC02869	HSALNG0010607
LINC01710	HSALNG0010627
LYPLAL1-DT	HSALNG0010629
LYPLAL1-AS1	HSALNG0010664
LINC02779	HSALNG0010726
LINC01352	HSALNG0010764
HLX-AS1	HSALNG0010765
LINC02817	HSALNG0010796
LINC02257,LINC01655,LINC01705	HSALNG0010821
LINC02474	HSALNG0010828
TAF1A-AS1	HSALNG0010843
CNIH3-AS2	HSALNG0010968
CNIH3-AS1	HSALNG0010970
LINC02813	HSALNG0010976
LINC02765	HSALNG0010997
LINC01703	HSALNG0011047
ACBD3-AS1	HSALNG0011058
ITPKB-AS1	HSALNG0011102
ITPKB-IT1	HSALNG0011099
LINC01641	HSALNG0011136
SNAP47-AS1	HSALNG0011165
LINC02809	HSALNG0142440
IBA57-DT	HSALNG0142442
OBSCN-AS1	HSALNG0142443
LINC02815,LINC02814	HSALNG0011282
LINC01682	HSALNG0011347
LINC01736	HSALNG0011359
LINC01737	HSALNG0011388
LINC00582	HSALNG0011459
DISC2	HSALNG0011461
DISC1-IT1	HSALNG0011465
LINC01745	HSALNG0011511
LINC01744	HSALNG0011512
COA6-AS1	HSALNG0011591
LINC01354	HSALNG0011601
LINC00184	HSALNG0011620
LINC01132	HSALNG0011630
LINC01348	HSALNG0142454
LYST-AS1	HSALNG0011731
LINC02768	HSALNG0011738
LGALS8-AS1	HSALNG0011777
LINC01139	HSALNG0011845
CHRM3-AS2	HSALNG0011884
CHRM3-AS1	HSALNG0011896
LINC01347	HSALNG0012016
AKT3-IT1	HSALNG0012043
LINC02774	HSALNG0012050
KIF26B-AS1	HSALNG0012143
SMYD3-IT1	HSALNG0012180
LINC01743	HSALNG0012183
LINC01341	HSALNG0012202
GCSAML-AS1	HSALNG0012265
LINC01865	HSALNG0012367
LINC01874	HSALNG0012386
LINC01875	HSALNG0012395
TMEM18-DT	HSALNG0012414
LINC01115	HSALNG0146388
LINC01939	HSALNG0012435
SNTG2-AS1	HSALNG0012446
MYT1L-AS1	HSALNG0012507
LINC01250	HSALNG0012549
EIPR1-IT1	HSALNG0012572
TRAPPC12-AS1	HSALNG0012576
RNASEH1-AS1	HSALNG0012584
LINC01304	HSALNG0012604
LINC01249	HSALNG0012627
LINC01248	HSALNG0012675
LINC01810	HSALNG0012682
SILC1	HSALNG0012685
LINC01247	HSALNG0146395
LINC01824	HSALNG0012706
MIR7515HG,LINC01246	HSALNG0012712
LINC00487,NRIR	HSALNG0012717
RNF144A-AS1	HSALNG0012734
LINC01871	HSALNG0012783
LINC00298,LINC00299,LINC01814	HSALNG0012802
ID2-AS1	HSALNG0012846
ODC1-DT	HSALNG0012977
LINC01954	HSALNG0013007
LINC00570	HSALNG0013045
MIR3681HG	HSALNG0013074
LINC00276	HSALNG0013136
LINC01804	HSALNG0013185
MYCNUT	HSALNG0013204
GACAT3	HSALNG0013215
LINC01866	HSALNG0013258
LINC01376	HSALNG0013352
LINC01808	HSALNG0013365
LINC00954	HSALNG0013382
LAPTM4A-DT	HSALNG0013400
HS1BP3-IT1	HSALNG0013448
LINC02850	HSALNG0013469
LINC01822	HSALNG0013499
LINC01830	HSALNG0013509
LINC01884	HSALNG0013513
DNAJC27-AS1	HSALNG0013632
LINC01381	HSALNG0013640
ARNILA	HSALNG0013657
DTNB-AS1	HSALNG0013662
MAPRE3-AS1	HSALNG0013756
AGBL5-AS1	HSALNG0013763
AGBL5-IT1	HSALNG0013766
GTF3C2-AS1	HSALNG0013804
LINC01460	HSALNG0146426
BABAM2-AS1	HSALNG0013844
LINC01936	HSALNG0013967
LINC01946	HSALNG0014040
BIRC6-AS1	HSALNG0146433
LINC00486	HSALNG0014102
LINC01320,LINC01317	HSALNG0014134
LINC01318	HSALNG0014138
CRIM1-DT	HSALNG0014194
LINC00211	HSALNG0014277
RMDN2-AS1	HSALNG0014286
CYP1B1-AS1	HSALNG0014289
LINC02613	HSALNG0014305
LINC01883	HSALNG0014307
SOS1-IT1	HSALNG0014352
MAP4K3-DT	HSALNG0014372
SLC8A1-AS1	HSALNG0014381
LINC01794	HSALNG0014395
LINC01914	HSALNG0014404
LINC01913	HSALNG0014440
EML4-AS1	HSALNG0014464
LINC01819	HSALNG0014509
LINC02590	HSALNG0014513
LINC02580	HSALNG0014517
LINC01126	HSALNG0014530
LINC01833	HSALNG0014612
SIX3-AS1	HSALNG0014614
LINC01121	HSALNG0014626
PRKCE-AS1	HSALNG0014651
LINC01820	HSALNG0014676
LINC02583	HSALNG0014682
LINC01118,LINC01119	HSALNG0014713
EPCAM-DT	HSALNG0014743
BCYRN1	HSALNG0014748
MSH2-OT1	HSALNG0014760
LINC01867	HSALNG0014871
EML6-AS1	HSALNG0014978
MIR217HG	HSALNG0015059
LINC01813	HSALNG0015064
LINC01795	HSALNG0015122
LINC01122,LINC01793	HSALNG0015125
MIR4432HG	HSALNG0015201
LINC01185	HSALNG0015253
LINC00309	HSALNG0015454
LGALSL-DT	HSALNG0015476
LINC01805	HSALNG0015481
LINC02579	HSALNG0015486
LINC01800	HSALNG0015493
LINC02245	HSALNG0015506
LINC02245	HSALNG0146489
LINC02576	HSALNG0015520
MEIS1-AS3	HSALNG0015570
LINC01873	HSALNG0146122
MEIS1-AS2	HSALNG0015591
LINC01798	HSALNG0015598
LINC01797	HSALNG0015602
LINC01799	HSALNG0015613
LINC01628	HSALNG0015617
LINC01828	HSALNG0015623
LINC01829,LINC01812	HSALNG0015625
LINC02831	HSALNG0015645
LINC01890	HSALNG0015713
LINC01888	HSALNG0015714
PCBP1-AS1	HSALNG0015768
LINC01816	HSALNG0015785
TGFA-IT1	HSALNG0015815
LINC01143	HSALNG0015841
ATP6V1B1-AS1	HSALNG0015847
ALMS1-IT1	HSALNG0015964
DGUOK-AS1	HSALNG0016002
BOLA3-AS1	HSALNG0016018
DCTN1-AS1	HSALNG0016045
LBX2-AS1	HSALNG0016063
LINC01291,LINC01293	HSALNG0016106
LRRTM4-AS1	HSALNG0016219
LINC01851	HSALNG0016240
CTNNA2-AS1	HSALNG0016289
LINC01815	HSALNG0016329
LINC01809	HSALNG0016396
LINC01964	HSALNG0016452
TCF7L1-IT1	HSALNG0016459
PARTICL	HSALNG0016500
ST3GAL5-AS1	HSALNG0016544
LINC01955	HSALNG0016627
LINC01943	HSALNG0016641
CYTOR	HSALNG0016642
EIF2AK3-DT	HSALNG0016705
FAM95A	HSALNG0016892
LINC00342	HSALNG0016990
LINC00342	HSALNG0146543
STARD7-AS1	HSALNG0146165
CNNM3-DT	HSALNG0017086
LINC02611	HSALNG0017221
LINC01104	HSALNG0017289
LINC01849	HSALNG0017309
LINC01868	HSALNG0017317
NPAS2-AS1	HSALNG0017338
TBC1D8-AS1	HSALNG0017347
LINC01870	HSALNG0017377
LINC01127	HSALNG0017393
IL1R1-AS1	HSALNG0017401
LINC01796	HSALNG0017446
LINC01935	HSALNG0017448
LINC01965	HSALNG0017490
LINC01103,LINC01831	HSALNG0017514
LINC01102	HSALNG0017515
LINC01114,PANTR1	HSALNG0017537
LINC01159	HSALNG0017545
MRPS9-AS2	HSALNG0017552
MRPS9-AS1	HSALNG0017556
LINC01918	HSALNG0017561
ST6GAL2-IT1	HSALNG0017661
LINC01789	HSALNG0017678
LINC01885	HSALNG0017683
