UID,variation_id
ELH000814,5678;5681;5682;222816;800843;1034155;1325042;1517419;1911265;2005691;2011646;2413129;2678604;2678608;2703817;2721165;2722786;2735939;2737058;2760098;2763900;2772673;2779728;2776900;2780143;2801894;2798083;2800038;2829315;2967556;3013081
ELH000815,2506345
ELH000829,374900;376972;402189;422202;426686;426689;449740;504212;504211;523643;523963;592141;666362;666361;802084;817225;986873;1308667;1324655;1324657;1325791;1335562;1342838;1476484;1385262;1374371;1458227;1458164;1459435;1355037;1526263;1708490;1801475;1803676;1805499;2168966;1926459;1943859;1957190;1967475;1986316;2135121;2505310;2629784;2766195;2824153;2972761;2996235;3065915;3233517
ELH000830,374900;402189;426689;449740;504212;504211;523643;523963;592141;666362;802084;817225;986873;1308667;1324655;1324657;1325791;1342838;1476484;1374371;1458227;1459435;1355037;1526263;1708490;1803676;2168966;1943859;1957190;1967475;2135121;2629784;2766195;2824153;2972761;3065915
ELH000835,16024;16025;140611;379859;1301193;1519153;1709893;2151986;2755816
ELH000855,167671
ELH000856,812084;1054010;2167641;2075669;658088;2177771;2026969;2787870;2909049;2414357;2083346
ELH000860,14300;92980;92983;287677;425393;431964;477503;543839;550950;551050;652292;817556;839949;983646;983647;1074786;1070507;1218589;1356883;1525000;1518453;1725233;1725464;1725993;1726053;1726565;2152018;2029584;2028946;2099320;2676229;2676233;2737590;2734950;3011651;287415;558422;959370;954079;983648;1068380;1069086;1355415;1724076;2676230
ELH000869,235892;373428;376764;392956;807517;916073;1172521;1337305;1709915
ELH000902,16730;43586;163387;163388;163389;177951;177997;179271;213197;213187;284728;418181;524218;636774;840776;850874;835472;930778;961907;988484;995872;1066323;1076698;1076945;1254893;1454234;1805174;2706957;16722;16723;163395;163394;163392;163396;177996;213188;213189;213178;503920;521602;580650;642454;849178;858672;987804;1071054;1076093;1074749;1197278;1324326;1359460;1382426;1445727;1678163;1995066;1998058;2008904;2017099;2007547;2035410;2579635;2628092;2633103;2730893;2811144;2855305
ELH000925,208743;209159;224815;235846;372881;376787;397504;403957;421469;421743;421935;424537;425473;429784;429761;430264;435376;451906;472571;472576;487503;520575;521282;521354;522682;539840;567084;598966;658023;807609;828036;917873;917874;976358;975942;981278;981271;981272;987514;1076783;1163324;1208495;1284989;1329920;1333808;1452432;1483551;1481271;1683956;1685863;1685864;1700093;1700197;1706588;1713267;1801825;1810638;1922738;1949360;2000563;2005963;2023315;2033628;2079411;2097493;2429918;2499551;2502881;2571351;2580157;2635379;2686033;2748611;2820459;2823064;2836372;2835750;2840553;2866137;2910238;3024338
ELH000926,14208;14209;14221;14223;14226;14227;189086;279884;379208;426728;465202;465213;487451;487440;533761;533763;550994;552477;552607;556339;552761;556720;555992;556596;550637;558181;552568;580378;577282;580379;632970;633393;633396;655898;641782;660541;928882;928881;929121;933554;970486;968652;971991;1067429;1067258;1066456;1066516;1067503;1066913;1067896;1067141;1068099;1066356;1066613;1072425;1071614;1299142;1453977;1454053;1385427;1373627;1446490;1457701;1451935;1426407;2420892;2414407;1960249;2021638;2098536;2715361;2719106;2748178;2811229;2842416;2862451;2860195;2915540;2981551;3018865
ELH000944,1341682
ELH000993,2698615
