UID,organism,transcript_id,adipose,adrenal,brain,brain_R,breast,colon,fId
ELM000032,Mouse,NONMMUT148606.1,1.59e-61,0.00000000471,4.65e-35,0.0000000000000164,7.09e-30,1.32e-25,2655
ELM000032,Mouse,NONMMUT148607.1,6.03e-83,0.0217327,3e-29,9.94e-74,6.55e-31,7.05e-32,2656
ELM000032,Mouse,NONMMUT148608.1,7.85e-101,5.38e-21,0.00415986,0.022077,0.0936306,0.0238269,2657
ELM000032,Mouse,NONMMUT148609.1,2.05e-66,0.0000000000000413,1.9e-39,2.11e-18,0.000000000119,4.54e-20,2658
ELM000032,Mouse,NONMMUT148610.1,2.99e-95,0.00000000000000343,2.2e-40,3.58e-77,2.06e-45,3.25e-50,2659
ELM000032,Mouse,NONMMUT148611.1,3.6e-67,0.00000000000000685,4.01e-40,0.00448857,0.0000000000016,1.51e-21,2660
ELM000032,Mouse,NONMMUT148612.1,1.72e-63,0.0000000000437,7.97e-37,2.69e-23,9.24e-35,1.86e-29,2661
ELM000032,Mouse,NONMMUT148613.1,9.01e-94,0.000000000000118,4.74e-39,1.57e-96,7.14e-50,2.51e-50,2662
ELM000032,Mouse,NONMMUT148614.1,4.12e-92,0.00000000000632,1.49e-37,4.52e-89,9.84e-50,4.65e-47,2663
ELM000032,Mouse,NONMMUT148615.1,1.05e-60,0.000000033,2.53e-34,6.02e-32,7.64e-28,5.31e-24,2664
ELM000032,Mouse,NONMMUT148616.1,1.77e-65,0.000000000000384,1.31e-38,0.0000000000000323,0.000000071,3.37e-19,2665
ELM000032,Mouse,NONMMUT148617.1,1.97e-88,0.0000000425,3.15e-34,1.57e-72,1.51e-40,8.22e-40,2666
ELM000032,Mouse,NONMMUT148618.1,2.97e-37,7.41e-78,5.08e-49,1.45e-127,2.55e-118,2.4e-52,2667
ELM000032,Mouse,NONMMUT148619.1,2.99e-95,0.00000000000000343,0.00495414,2.03e-75,2.07e-44,0.0122758,2668
ELM000033,Mouse,NONMMUT033624.2,0.7505,0.0256021,0.57389,0.410524,0.414535,0.54092,2669
ELM000033,Mouse,NONMMUT033625.2,0,0,3.12e-129,1.61e-247,0.0454187,0,2670
ELM000033,Mouse,NONMMUT033630.2,51.3439,5.3585,26.213,102.02,20.9244,19.2467,2671
ELM000033,Mouse,NONMMUT033632.2,0.572653,0.0913929,2.26623,7.73184,0.677613,0.689808,2672
ELM000033,Mouse,NONMMUT033634.2,23.7324,2.57614,15.9363,128.111,9.47796,13.2639,2673
ELM000033,Mouse,NONMMUT033636.2,8e-60,3.2e-66,6.86e-20,6.63e-70,2.23e-39,1.89e-98,2674
ELM000033,Mouse,NONMMUT105820.1,2.23e-82,7.18e-96,0.0229811,4.46e-53,0.250142,4.94e-121,2675
ELM000033,Mouse,NONMMUT105821.1,3.2e-96,5.07e-97,5.83e-272,1.79e-75,6.5e-251,1.2e-247,2676
ELM000033,Mouse,NONMMUT105822.1,0.00000383,1.54865,30.1678,6.37e-30,1.11e-81,2.93e-69,2677
ELM000033,Mouse,NONMMUT146023.1,4.03e-22,7.65e-33,0.0000000146,0.0000000477,0.00562525,0.00000000782,2678
ELM000033,Mouse,NONMMUT146024.1,7.39e-28,1.79e-38,0.0000000155,0.0000000692,4.39e-25,0.000000105,2679
ELM000033,Mouse,NONMMUT146025.1,1.18e-24,2.03e-56,0.0049692,0.00000000825,5.58e-49,0.0123405,2680
ELM000034,Mouse,NONMMUT065698.2,0,0,0,0,0,0,2681
ELM000034,Mouse,NONMMUT065699.2,0,0,0,0,0,0,2682
ELM000034,Mouse,NONMMUT065700.2,0,0,0,0,0,0,2683
ELM000034,Mouse,NONMMUT065702.2,0,0,0,0,0,0,2684
ELM000034,Mouse,NONMMUT128694.1,0,0,0,0,0,0,2685
ELM000034,Mouse,NONMMUT128695.1,0,0,0,0,0,0,2686
